179	484
187	493
198	450
203	444
211	454
214	292
215	299
216	289
217	292
220	410
223	381
232	289
234	290
238	387
242	416
242	310
242	455
243	388
244	402
245	291
245	368
246	409
249	396
252	384
253	438
256	395
260	401
262	385
262	390
264	368
264	407
265	378
265	391
266	404
267	368
269	371
269	395
270	384
270	398
273	397
274	395
274	406
275	389
276	371
278	401
278	411
279	396
280	379
280	400
281	422
282	397
284	458
287	401
60	460
408	440
409	438
410	432
410	445
411	423
411	429
412	424
412	435
412	435
413	425
413	427
414	445
414	435
415	437
416	432
416	438
417	433
420	435
420	446
421	505
424	434
425	447
432	506
436	449
437	451
437	455
440	478
443	461
444	457
445	486
446	460
447	459
448	461
449	462
452	465
452	466
454	467
454	474
455	497
456	477
458	472
460	473
461	483
461	476
462	496
463	486
464	482
465	479
465	494
466	522
466	483
466	482
467	479
467	481
467	487
468	532
468	478
470	484
471	490
472	482
472	491
473	492
473	489
474	525
475	488
476	510
477	495
479	498
479	492
479	519
479	493
479	498
481	500
483	505
484	510
484	671
486	499
486	504
486	529
487	500
487	528
488	499
490	503
491	740
491	506
491	579
492	502
494	726
496	508
496	766
498	687
498	512
499	540
500	539
502	540
504	522
504	580
506	522
507	525
508	536
508	523
509	540
510	523
510	545
511	669
512	525
513	526
514	529
514	528
514	528
514	577
515	542
515	528
515	540
518	544
519	543
519	545
520	577
520	566
522	546
522	578
522	548
523	541
524	541
524	570
526	542
528	541
528	540
528	546
528	551
529	547
530	686
530	541
530	598
530	675
531	541
531	676
532	677
533	579
533	656
534	684
534	684
534	553
536	546
540	672
540	554
540	556
541	725
541	556
542	552
543	560
543	656
543	690
544	556
544	558
544	683
546	558
546	656
546	688
548	685
549	561
549	562
550	562
552	672
552	678
552	678
553	666
553	728
554	688
557	567
558	681
558	667
558	659
561	685
562	784
562	695
563	669
564	659
566	701
566	679
567	684
568	699
569	682
569	700
570	685
572	684
574	685
575	689
290	478
291	390
291	382
292	394
293	437
289	386
306	371
307	399
338	383
341	399
344	411
347	371
348	448
351	398
352	401
355	434
356	722
357	587
359	374
359	435
359	428
360	413
365	463
365	433
366	400
371	444
372	390
372	437
375	432
376	391
376	496
373	402
383	402
389	402
391	412
391	401
392	406
392	405
393	412
393	547
395	408
395	409
396	413
398	408
399	415
400	415
400	426
401	416
402	420
403	417
403	423
404	459
404	421
405	418
405	425
406	421
406	422
406	421
406	444
407	426
407	420
